year,month,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,ALL,AMGN,AMT,AMZN,APC,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK/B,C,CAT,CELG,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,DVN,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTN,RTX,SBUX,SLB,SO,SPG,T,TFCF,TFCFA,TGT,TMO,TMUS,TSLA,TWX,TXN,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2016,1,0.003688956,-0.002700892,-0.001268325,-0.002559546,-0.004086096,-0.009755019,-0.003845855,-0.000182611,-0.001931786,-0.00427037,-0.003049854,0.011281639,0.001092846,0.000801779,-0.001967048,-0.000881676,-0.003735882,0.000738224,0.001191959,0.002091909,-0.004432947,-0.001955748,-0.000873481,0.008448961,-0.006165702,-0.001769566,-0.002981262,-0.005909626,-0.002179837,0.003146911,-0.002250777,-0.002221051,0.002707844,-0.002552859,0.005371323,0.002999513,-0.001509399,-0.005515125,,0.003452631,0.004110476,0.003456046,0.005453792,-0.001882426,-0.003015019,-0.000947534,0.001084052,-0.006069241,-0.001105091,-0.001042879,-0.002338392,-0.003291345,0.006224556,-0.001047285,-0.000252542,0.004022139,-0.000566207,-0.000696159,0.000227417,,-0.001491377,0.002446699,-0.004687338,0.000159541,-0.001804976,-0.000532536,0.000462174,-0.00034879,-0.00349414,-0.001179526,-0.002639631,0.001697296,-0.00083102,-0.003446998,-0.002986205,-0.002129791,0.000558797,0.01030351,-0.000459157,-0.001031454,-0.006554351,-0.001726983,0.005060687,-0.000474738,-0.004967406,-0.002905151,-0.001639503,,-0.003700738,-0.001259324,0.000881244,0.001079235,0.004354128,0.000929731,-0.006706079,0.001375798,-0.000874751,0.000389386,0.000193472,0.00064295,,0.007463689,-0.001214737,0.002353359,0.000688089,-0.000539232,0.00178907,0.002559003,0.000396156,0.000909587,-0.000154398,0.003352384
2016,2,0.001200544,-0.001941434,0.002593696,-0.00180572,-0.002717876,-0.009183878,-0.003404004,8.25E-05,-0.000834048,-0.00527655,0.000296329,0.003213736,0.001420028,0.000954617,-0.000122358,-0.001346155,-0.001722325,0.001145799,-0.000205836,0.001734779,-0.003567849,-0.002363727,-0.002574688,0.003768198,-0.005833295,-0.002233827,-0.001141737,-0.006796356,-0.002448161,-0.001354959,-0.002185334,-0.001917996,0.003364828,-0.002253047,0.002942751,0.002926912,-0.00125335,-0.005051603,,0.002469541,7.70E-05,0.002641069,0.002414986,-0.00455414,-0.001085189,-0.001934081,0.000719752,-0.001751032,-0.000591849,-0.000904468,-0.001919882,-0.004523438,0.003481985,-0.002082881,-0.001058933,0.003713626,-0.000388819,0.000575471,0.000714211,,-0.000390748,0.000785846,-0.004118455,-7.03E-05,-0.00300665,-0.000703044,-7.16E-05,0.000384666,-0.002578607,-0.002490834,-0.002010737,0.001942727,-0.000119559,-0.00168683,-0.004801524,-0.001878243,-7.58E-05,0.009182794,-0.000495311,-0.000361546,-0.006467154,-0.001323499,0.002099467,-0.000135716,-0.004561249,-0.00219739,-0.001400033,,-0.004319717,-0.001509741,-9.80E-05,0.001983548,0.002721207,0.00014849,-0.005455913,0.000726009,-0.000680399,0.000445279,-0.002392244,0.001344107,,0.009998312,-0.00322754,0.001752383,-0.003040395,-0.001020444,0.002122638,0.002714546,0.000334137,0.000843716,-0.000614579,0.00153524
2016,3,0.003019217,-0.000679535,0.002159251,-0.000638308,-0.002015799,-0.008284928,-0.00049688,0.001495086,-0.000713812,-0.003400153,0.004342277,0.006070743,-0.001357163,0.000587562,-0.000595582,0.001399323,-0.001661781,0.004358529,-0.001442409,0.003980352,-0.001787173,-4.32E-05,-0.001033868,0.004053654,-0.006644784,-0.002754503,0.002308102,-0.005915814,-0.000311308,0.003216357,-0.000538922,-0.001173169,0.005909334,-0.002079356,0.006869268,0.001902306,0.000768926,-0.003585518,,0.000495614,0.009368974,0.00638888,0.001243955,-0.002395581,0.000315179,-5.90E-05,0.003159677,-0.00172481,-0.000659373,-0.002858098,-0.003774482,-0.002063894,0.006981488,-0.002568934,0.00087916,0.004414346,0.001662605,0.001201629,0.003257838,,0.000295762,0.001457891,-0.003734755,0.000828909,-0.00336175,0.000627096,-0.000563586,0.002318033,-0.002029432,0.000573383,-0.00511842,0.004289091,0.001197173,-0.000996643,-0.002773652,0.000477053,-0.000384152,0.007051152,-0.002311795,0.001656667,-0.004732089,0.000196044,0.005107834,0.00144643,-0.002623962,-0.000799259,0.000578193,,-0.001807253,0.002960008,0.001313326,0.001564155,0.005881056,-0.001389652,-0.005874143,0.002038866,0.000854892,0.00195056,-0.002143079,0.002667804,,0.010477255,-0.004727659,0.001972439,-0.003022757,-0.000726318,0.004266215,0.002978123,0.001289915,0.002732035,-0.001312229,0.005248641
2016,4,0.000244129,-0.003293537,0.000644426,-0.002156953,-0.004331633,-0.008250576,-0.00271623,0.000205378,-0.003147988,-0.005382108,0.001714054,-0.000662303,-0.003137781,-0.000755353,-0.000233709,-0.001792666,-0.003950493,0.002237473,-0.002622148,0.002346264,-0.002912823,-0.001915823,-0.004253409,0.002477499,-0.010799347,-0.002513947,0.000439388,-0.007330482,-0.002618067,0.000657655,-0.000258179,-0.004994654,0.005767451,-0.002781366,0.003652826,-0.000341773,-0.000273356,-0.0039788,,-5.91E-05,0.010363862,0.005073487,-0.002256899,-0.004931258,-0.002422089,-0.000638552,0.001478863,-0.0037511,-0.001577462,-0.003410588,-0.004782897,-0.003953806,0.005210854,-0.002633223,-0.001244317,0.001584742,0.001504132,0.00021263,-0.000163315,,-0.000965271,0.000171887,-0.003469381,0.001154039,-0.004074585,-0.000602496,-0.000810852,0.000603347,0.002887499,-0.00207324,-0.006503944,0.003772988,0.001290913,-0.003419641,-0.006178643,-0.002160281,-0.001797067,0.003832455,-0.002697764,0.000112562,-0.006295114,-0.002060707,0.003029726,0.000395213,-0.002571969,-0.001490407,0.000103869,,-0.003751861,0.003626347,0.003555696,-0.000321357,0.003755581,-0.001887511,-0.008083235,0.001250411,-0.001196499,-2.01E-05,-0.003814799,-0.000227184,,0.010432401,-0.004559969,0.001713019,-0.003995127,-0.002096289,0.001885346,0.002556211,0.000141458,0.000793332,-0.001432919,0.003616825
2016,5,-0.000634225,-0.005830501,-0.000865655,-0.002953161,-0.004268225,-0.008603763,-0.0039611,-0.000704719,-0.006893304,-0.005085027,0.000623239,0.001763625,-0.00577598,0.000509,-0.001054156,-0.001930332,-0.005718647,0.001949648,-0.004365483,0.001117841,-0.005467598,-0.003528163,-0.005504735,0.00179811,-0.012221658,-0.004024412,-0.000505878,-0.007532875,-0.003276304,0.002689106,-0.001307104,-0.008006016,0.004287458,-0.004422101,0.004509581,-0.000937202,-0.001937575,-0.003342236,,-0.000467095,0.014681767,0.003421874,-0.003717408,-0.003591422,-0.002509772,-0.002337824,0.001214125,-0.00610173,-0.000675753,-0.004796508,-0.006305564,-0.003587893,0.006592904,-0.003864317,-0.002976442,0.000309101,3.14E-06,-0.001761626,-0.001943783,,-0.001481939,-0.00021345,-0.006374576,-0.001208227,-0.004891579,-0.00145709,-0.002685236,-0.001189148,0.000453627,-0.003696843,-0.008472498,0.002079306,0.001226199,-0.005554135,-0.007227304,-0.002537126,-0.001492021,0.000376593,-0.003513066,0.000426163,-0.007157476,-0.002974408,0.004702645,-0.001113135,-0.004798128,-0.002322857,-0.000455566,,-0.003218,0.001934857,0.002742881,-0.003629097,0.006469581,-0.001204163,-0.00765606,0.002114837,-0.004287999,-0.002734863,-0.004277821,-0.002335284,,0.007164863,-0.006712885,7.01E-06,-0.004082955,-0.002028674,0.001315214,0.001069989,0.000743466,-7.21E-05,-0.003710782,0.003716863
2016,6,0.001907954,-0.006867795,-0.000276503,-0.003397502,-0.004461926,-0.007217186,-0.003002272,-0.000754481,-0.005981785,-0.006518639,-0.002116251,0.00290324,-0.001946861,0.000438545,0.000203212,-0.002184068,-0.00267071,0.001646244,-0.003670317,0.000988512,-0.004014249,-0.003078314,-0.005536773,0.002137002,-0.011583128,-0.005508441,-0.001683024,-0.007245187,-0.003525544,0.003767989,-0.001511855,-0.008956788,0.005511043,-0.004231917,0.002054309,0.000111861,-0.001838907,-0.002863386,,-0.000282983,0.015456957,0.003248715,-0.003473194,-0.00390582,-0.002694783,-0.00143063,0.001538259,-0.003270342,0.000302459,-0.005330377,-0.006705549,-0.004157641,0.005397895,-0.003232392,-0.001982546,0.001835425,0.001274102,-0.001482828,-0.002256018,,-0.001102473,0.000385827,-0.006274625,-0.000457291,-0.002854128,-0.001172144,-0.002731681,-0.00312437,0.001511224,-0.003920001,-0.008936192,0.002285838,0.001688324,-0.005829587,-0.007394374,-0.003729903,-0.001053774,-0.002300414,-0.002817901,0.001771331,-0.006213204,-0.002475641,0.005466148,-0.00110811,-0.004659942,-0.002388101,-0.000907535,,-0.003668431,0.002273545,0.003963116,-0.004094266,0.006013494,-0.000749797,-0.007808397,0.000985708,-0.003888018,-0.001994854,-0.004064767,-0.002322651,,0.006802633,-0.00577275,0.000497525,-0.00377956,-0.001083388,0.000849882,-0.000580559,7.68E-05,-0.000941049,-0.004015366,0.004422447
2016,7,0.003256297,-0.006311834,0.000576699,-0.00329556,-0.004122913,-0.008869915,-0.002700808,-0.001166092,-0.005625884,-0.005000224,-0.001402174,0.002273072,-0.002991744,-1.33E-05,0.000462491,-0.002324858,-0.002596242,0.000417188,-0.004945971,0.000473932,-0.001854766,-0.003725848,-0.005627371,0.002618349,-0.011968854,-0.008583406,-0.002470629,-0.007353786,-0.003672666,0.003165617,-0.003677816,-0.008298155,0.00557231,-0.004238406,0.001646754,5.94E-05,-0.001519233,-0.001828187,,-0.000820053,0.014349201,0.002928209,-0.003420183,-0.000459545,-0.001536522,-0.001141533,0.001900922,-0.00148617,0.003709161,-0.004857645,-0.006069265,-0.003763265,0.005162483,-0.002862514,-0.002175191,0.002766992,-0.000274253,-0.001632629,-0.002410494,-0.00356936,-0.001329611,-0.000623169,-0.006069059,0.00014689,-0.002809374,-0.001342875,-0.00241903,-0.005599592,0.00188269,-0.004322827,-0.00777345,0.00205064,0.000768873,-0.006125123,-0.006937338,-0.002840551,-0.000116727,-0.001568793,-0.002304244,0.003508187,-0.005442536,-0.002028927,0.006205556,-0.001835721,-0.005237967,-0.002666098,-0.00139095,-0.004852516,-0.003788841,0.001477912,0.00403263,-0.003572946,0.006386526,-0.001006509,-0.007164732,0.001428466,-0.005128892,-0.003378956,-0.003414917,-0.003134419,,0.007746507,-0.006679579,-0.000457942,-0.002866393,-0.000703603,0.000229537,-0.000356601,0.000481006,-0.001279603,-0.003171439,0.004148486
2016,8,0.003776631,-0.005769324,0.000832399,-0.00237663,-0.003778934,-0.008976517,-0.001960917,9.01E-05,-0.005986016,-0.004354658,-0.001928697,-0.001166916,-0.000773561,0.000805645,0.001768373,-0.000275566,-0.003395719,0.002606525,-0.006266538,0.001119781,-0.00072299,-0.00239097,-0.004534098,0.001057116,-0.011930186,-0.008769463,-0.001240366,-0.004644044,-0.00235214,0.001422282,-0.002308291,-0.007661546,0.004918861,-0.002934977,0.001861289,0.000702102,-0.001870383,-0.001290122,,-0.000125046,0.009138412,0.002894409,-0.002720795,-0.001553435,-0.002941939,-0.001518235,0.002155778,-0.003668875,0.001275867,-0.005495417,-0.006357678,-0.003121288,0.001640877,-0.003404352,-0.001599032,0.003382316,-0.000795911,-0.000771015,-0.000833899,-0.00147795,-0.000372136,-0.001546727,-0.004944473,0.000757828,-0.00292492,-0.001184353,-0.001860099,-0.003919377,0.001611235,-0.00289688,-0.006609891,0.00257403,0.001018901,-0.005630422,-0.005537628,-0.002271144,0.000652304,-0.006232341,-0.001844896,0.004139683,-0.003632806,-0.002010418,0.004087449,-0.000550812,-0.005685384,-0.00122714,0.000129344,-0.004690518,-0.002534904,0.002747269,0.0038026,-0.002957605,0.004057099,-0.000762941,-0.006427129,0.001047473,-0.005300342,-0.003895493,-0.002322905,-0.003280072,,0.006398084,-0.006693798,0.000908716,-0.002267642,-0.00117,0.002206823,0.00015629,0.000594512,0.000233054,-0.001829714,0.003219975
2016,9,0.000318529,-0.006987824,-0.000474729,-0.002347566,-0.004263559,-0.008663008,-0.001568383,0.000533425,-0.007479784,-0.005040437,-0.003068233,0.001854302,-0.001116128,0.001146719,0.001771507,0.000139032,-0.005242606,0.003031695,-0.006797969,0.000248092,-0.002614989,-0.002434167,-0.003814115,0.000403094,-0.013607228,-0.008523627,-0.001507628,-0.003947171,-0.001953093,0.00291181,-0.0023514,-0.0078486,0.004200199,-0.003362801,0.001891102,-0.000343001,-0.00214157,-0.00016192,,0.000639238,0.012811694,0.002391823,-0.002196886,0.000262054,-0.003115824,-0.002893478,0.001388143,-0.003481855,0.002362025,-0.005198178,-0.006451361,-0.002944093,0.000892079,-0.003822434,-0.001553995,0.001231702,-0.000485137,-0.001042288,-0.000611851,-0.000137647,0.000895893,-0.001460581,-0.00560146,0.000344574,-0.003499481,-0.001001131,-0.002483121,-0.002301597,0.000787649,-0.002539737,-0.00674285,0.001929513,0.001507374,-0.005503436,-0.005037112,-0.001928033,0.00245806,-0.010283059,-0.001992569,0.003972079,-0.001692877,-0.002715846,0.004417864,0.000382191,-0.00641594,-0.002345168,0.000347342,-0.002826008,-0.001499606,0.00217998,0.003610083,-0.001977939,0.005493751,-0.000569627,-0.006114624,0.001067552,-0.006012685,-0.004099512,-0.004035009,-0.004312226,,0.006160513,-0.007038359,0.000936692,-0.003244082,-0.000784261,0.002946196,0.000405599,0.002305302,0.000569496,-0.002513692,0.004991355
2016,10,-0.004073916,-0.009527575,-0.004316069,-0.004178864,-0.007570689,-0.012490916,-0.003263722,-0.000765046,-0.009955412,-0.007361917,-0.005971781,-0.002269392,-0.006038933,-0.000991275,-0.000635821,-0.003091632,-0.006719127,0.000260231,-0.009189135,-0.001922003,-0.003508484,-0.004676178,-0.007300692,-0.00079874,-0.015208346,-0.013927594,-0.00352364,-0.00672808,-0.005189433,0.001392175,-0.000269068,-0.007409731,0.001309535,-0.005106246,-0.000785394,-0.004791462,-0.004364018,-0.001969829,,-0.001258859,0.007291678,-0.000188011,-0.003953502,0.000422786,-0.004925433,-0.005115507,-0.001785306,-0.005388065,0.000348743,-0.008236745,-0.009030553,-0.005439367,-0.002567854,-0.006389177,-0.004012203,-0.002155972,-0.002942618,-0.002570621,-0.003845989,-0.003146969,-0.000176126,-0.004753081,-0.007703273,-0.001375553,-0.005115277,-0.004953114,-0.003677273,-0.003016009,-0.002472372,-0.005545675,-0.008877598,-0.00060325,-0.001264171,-0.007743305,-0.007991802,-0.005503678,-0.000257619,-0.017501727,-0.00566719,0.0016394,-0.007637338,-0.005093675,0.000857775,-0.00149714,-0.008412913,-0.005429598,-0.002388338,-0.005137199,-0.004387565,0.000182039,0.001627834,-0.003981066,0.003381365,-0.002290337,-0.008379059,-0.00136422,-0.008446498,-0.006574449,-0.007059922,-0.006317394,-0.010970379,0.007183196,-0.00876394,-0.001952058,-0.005392876,-0.003141958,-0.001130965,-0.002832132,-0.000119494,-0.002643374,-0.005303614,0.001625893
