2015,2016,2017,2018,2019,2020,2021
OXY,OXY,OXY,VZ,OXY,AXP,AXP
AXP,AXP,AXP,HD,AXP,MDLZ,MDLZ
MDLZ,MDLZ,MDLZ,ACN,MDLZ,VZ,VZ
VZ,VZ,VZ,WMT,VZ,BA,BA
BA,BA,BA,ABT,BA,CAT,CAT
CAT,CAT,CAT,KHC,CAT,JPM,JPM
JPM,JPM,JPM,PM,JPM,CVX,CVX
PEP,PEP,CVX,ORCL,CVX,KO,KO
CVX,CVX,EXC,TGT,KO,COP,COP
EXC,EXC,KO,OXY,COP,DIS,DIS
KO,KO,COP,AXP,DIS,XOM,XOM
COP,COP,DIS,MDLZ,XOM,GE,GE
DIS,DIS,XOM,BA,GE,AMT,AMT
1715651D,1715651D,GE,CAT,AMZN,AMZN,AMZN
XOM,XOM,AMZN,JPM,HD,HD,HD
GE,GE,HD,CVX,IBM,IBM,IBM
AMZN,AMZN,IBM,EXC,JNJ,JNJ,JNJ
HD,HD,JNJ,KO,MCD,MCD,MCD
IBM,IBM,MCD,COP,MRK,MRK,MRK
JNJ,JNJ,MRK,DIS,MMM,MMM,MMM
MCD,MCD,MMM,XOM,BAC,BAC,BAC
MRK,MRK,RTN,GE,PFE,PFE,PFE
MMM,MMM,BAC,AMZN,GOOG,GOOG,GOOG
RTN,RTN,PFE,IBM,PG,PG,PG
BAC,BAC,GOOG,JNJ,ACN,ACN,ACN
PFE,PFE,PG,MCD,T,T,T
GOOG,GOOG,ACN,MRK,CHTR,CHTR,CHTR
PG,PG,T,MMM,WMT,RTX,RTX
ACN,ACN,CHTR,RTN,CSCO,WMT,WMT
T,T,RTX,BAC,SLB,CSCO,CSCO
RTX,RTX,WMT,PFE,INTC,SLB,INTC
WMT,WMT,CSCO,GOOG,MSFT,INTC,MSFT
CSCO,CSCO,SLB,PG,NVDA,MSFT,NVDA
SLB,SLB,INTC,T,C,NVDA,C
INTC,INTC,MSFT,CHTR,SO,C,SO
MSFT,MSFT,C,RTX,AIG,SO,AIG
C,C,SO,CSCO,HON,AIG,MO
SO,SO,AIG,SLB,MO,HON,GS
AIG,AIG,HON,INTC,GS,MO,ABT
HON,HON,MO,MSFT,ABT,GS,BKNG
MO,MO,GS,NVDA,BKNG,ABT,TXN
GS,GS,ABT,C,TXN,BKNG,KHC
ABT,ABT,BKNG,SO,KHC,TXN,TMO
BKNG,BKNG,TXN,AIG,TMO,KHC,GOOGL
TXN,TXN,KHC,HON,GOOGL,TMO,NFLX
DVN,KHC,GOOGL,MO,NFLX,GOOGL,UNP
GOOGL,GOOGL,UNP,GS,UNP,NFLX,UNH
APC,UNP,UNH,BKNG,UNH,UNP,BLK
UNP,UNH,BLK,TXN,PM,UNH,PM
UNH,BLK,PM,GOOGL,BK,BLK,BK
BLK,PM,BK,NFLX,WBA,PM,WBA
