Date,OXY,AXP,MDLZ,VZ,BA,CAT,JPM,PEP,CVX,EXC,KO,COP,DIS,1715651D,XOM,GE,AMZN,HD,IBM,JNJ,MCD,MRK,MMM,RTN,BAC,PFE,GOOG,PG,ACN,T,RTX,WMT,CSCO,SLB,INTC,MSFT,C,SO,AIG,HON,MO,GS,ABT,BKNG,TXN,DVN,GOOGL,APC,UNP,UNH,BLK,PM,BK,WBA,MET,1856613D,BRK/B,BMY,AMGN,AAPL,CMCSA,MA,ORCL,CL,ABBV,COST,TWX,TGT,CELG,1697067D,TFCF,EMC,EMR,GM,KMI,V,GILD,FDX,META,F,BIIB,GD,PYPL,QCOM,HAL,SBUX,USB,AGN,MS,ALL,LLY,LOW,SPG,UPS,MDT,CVS,LMT,COF,TFCFA,NKE,NSC,WFC,KHC,DHR,DUK,NEE,CHTR,PEP,DD,NVDA,NFLX,TMO,ADBE,DOW,EXC,AMT,CRM,TSLA,LIN,AVGO,HON,TMUS
01-01-2015,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
02-01-2015,80.6174,93.02,36.79,46.96,129.95,91.88,62.49,94.44,112.58,26.7899,42.14,68.92,93.75,70.0216,92.83,192.7116,15.426,103.43,154.7939,104.52,93.26,54.5322,164.06,108.61,17.9,29.6992,26.169,90.44,88.84,25.5643,67.852,85.9,27.61,85.67,36.36,46.76,54.26,49.37,56.11,95.4191,48.97,194.41,44.9,1142.06,53.48,60.96,26.478,82.29,118.61,100.78,356.73,81.02,40.46,76,48.0411,119.74,149.17,59.51,159.89,27.333,28.675,85.68,44.33,69.04,65.89,141.61,84.93,75.33,113.52,45.59,36.52,29.83,61.79,34.84,42.81,66.255,94.91,172.45,78.45,15.36,315.026,138.45,#N/A N/A,74.28,39.49,40.72,44.83,259.13,38.71,70.12,70.06,67.7,185.34,110.38,71.88,95.1,193.31,82.49,37.85,47.515,109.15,54.7,#N/A N/A,64.9686,84.05,26.6725,184.063,#N/A N/A,64.8657,5.0325,49.849,128.12,72.34,#N/A N/A,#N/A N/A,99.67,59.24,14.621,129.95,100.09,#N/A N/A,#N/A N/A
03-01-2015,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
04-01-2015,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
05-01-2015,77.6286,90.56,36.24,46.57,129.05,87.03,60.55,93.73,108.08,26.0269,42.14,65.64,92.38,68.1312,90.29,189.1742,15.11,101.26,152.3582,103.79,92.23,55.3426,160.36,106.62,17.38,29.5381,25.623,90.01,87.34,25.3227,66.72,85.65,27.06,83.35,35.95,46.325,52.55,49.16,55,93.6008,48.69,188.34,44.91,1097.58,52.645,58.7,25.973,75.8,114.6,99.12,347.5,80.41,39.42,74.5,46.437,117.31,147,58.58,157.99,26.563,27.98,83.27,43.59,68.53,64.65,140,83.24,73.98,111.93,44.18,35.77,29.24,60.52,34.33,41.65,64.7925,96.785,169.8,77.19,14.76,310.172,135.56,#N/A N/A,73.93,38.71,39.94,43.75,256.69,37.5,68.73,69.37,66.08,186.1,108.17,71.58,94.16,189.29,80.59,37.08,46.75,106.39,53.2,#N/A N/A,64.3243,82.84,26.39,177.505,#N/A N/A,62.8596,4.9475,47.311,126.36,71.98,#N/A N/A,#N/A N/A,98.23,58.17,14.006,126.52,98.49,#N/A N/A,#N/A N/A
06-01-2015,76.9689,88.63,35.99,47.04,127.53,86.47,58.98,93.02,108.03,25.8273,42.46,62.93,91.89,67.3427,89.81,185.0985,14.765,100.95,149.0724,103.28,92.4,57.5167,158.65,106.24,16.86,29.7846,25.029,89.6,86.71,25.3605,65.776,86.31,27.05,81.72,35.28,45.65,50.7,49.75,54.22,93.3818,48.98,184.53,44.4,1079.96,51.78,57.5,25.332,75.24,112.23,98.92,342.1,81.1,38.28,74.69,45.0291,116.25,146.84,58.48,152.9,26.565,27.615,83.09,43.14,67.81,64.33,141.85,82.3,73.97,110.51,43.47,35.27,28.68,60.42,34.85,40.83,64.375,97.65,169.79,76.15,14.62,308.246,135.72,#N/A N/A,72.88,38.33,39.615,43.17,255.17,36.42,68.68,69.72,66.23,191.28,107.46,71.22,94.23,188.4,79.09,36.62,46.475,103,52.09,#N/A N/A,63.8847,84.2,26.4925,172.871,#N/A N/A,61.8494,4.7975,46.501,125.18,70.53,#N/A N/A,#N/A N/A,97.97,57.2,14.085,124.9,96.25,#N/A N/A,#N/A N/A
07-01-2015,76.9789,90.3,37.12,46.19,129.51,87.81,59.07,95.74,107.94,25.8629,42.99,63.35,92.83,68.6917,90.72,185.1754,14.921,104.41,148.0982,105.56,94.01,58.7467,159.8,107.57,16.94,30.1922,24.986,90.07,88.53,25.0359,66.49,88.6,27.3,81.71,36.02,46.23,51.17,50.3,54.48,94.0578,49.88,187.28,44.76,1069.57,52.71,57.77,25.258,76.44,112.85,99.93,349.34,81.71,39.07,76.6,45.6261,117.21,148.88,59.24,158.24,26.938,27.59,84.22,43.15,68.35,66.93,144.32,83.17,76.77,114.55,43.4,33.96,28.75,60.29,35.84,41.37,65.2375,99.48,171.04,76.15,15.04,325.37,135.2,#N/A N/A,73.73,39.36,40.59,43.55,265.23,36.94,69.81,69.23,68.2,194.8,108.46,73,95.93,190.83,79.99,35.315,47.435,103,52.4,#N/A N/A,64.2713,84.47,26.735,173.402,#N/A N/A,61.7498,4.7838,46.743,128.93,71.11,#N/A N/A,#N/A N/A,99,56.93,14.063,126.3,98.85,#N/A N/A,#N/A N/A
08-01-2015,77.6586,91.58,37.59,47.18,131.8,88.71,60.39,97.48,110.41,26.0626,43.51,64.93,93.79,70.8006,92.23,187.4055,15.023,106.72,151.3171,106.39,94.36,59.9291,163.63,109.6,17.29,30.8083,25.065,91.1,89.88,25.285,67.622,90.47,27.51,82.7,36.69,47.59,51.94,50.34,54.24,95.7714,50.72,190.27,45.68,1082.85,53.57,59.82,25.346,78.91,117.08,104.7,353.42,82.94,39.61,77.55,46.3212,119.19,151.37,60.72,157.67,27.973,28.19,85.53,43.41,69.28,67.63,145.56,85.49,77.13,115.05,44.48,34.12,29.29,61.87,36.2,42.34,66.1125,102.3,175.04,78.175,15.42,322.616,138.46,#N/A N/A,74.505,40.21,41.245,43.87,268.96,37.49,71.15,70.87,69.64,194.52,110.41,74.75,97.97,195.13,80.77,35.68,48.53,103.99,53.56,#N/A N/A,65.2641,84.81,26.8975,180.203,#N/A N/A,63.2864,4.965,47.779,130.27,72.915,#N/A N/A,#N/A N/A,99.92,58.59,14.041,128.38,103.79,#N/A N/A,#N/A N/A
09-01-2015,77.5087,90.42,37.22,46.76,131.54,87.65,59.34,96.82,108.21,26.0198,43.03,64.92,94.25,69.8221,92.1,184.7909,14.847,104.89,151.9761,104.94,93.21,59.6526,161.62,108.7,16.98,30.9505,24.741,90.25,89.78,25.2095,67.251,89.35,27.79,81.22,36.76,47.19,50.78,49.7,53.32,94.1815,50.6,187.35,45.2,1051.96,53.6,60.41,25.036,79.14,114.98,103.72,349.23,82.72,39.03,75.67,45.4657,119.04,149.47,60.32,155.73,28.003,28.145,84.44,43.39,68.6,65.78,143.32,84.21,76.43,113.67,44.41,33.84,29.68,60.9,35.59,41.81,65.1325,102.21,172.66,77.74,15.21,315.33,138.97,#N/A N/A,74.42,39.8,39.895,42.96,268.68,36.88,70.42,69.93,68.33,196.57,109.6,74.4,97.92,195.02,79.37,35.38,47.995,103.17,52.68,#N/A N/A,64.8246,84.93,26.66,179.142,#N/A N/A,63.1868,4.985,47.041,129.75,71.84,#N/A N/A,#N/A N/A,99.41,58.16,13.777,126.65,104.895,#N/A N/A,#N/A N/A
10-01-2015,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
