year,month,AAPL,ABBV,ABT,ACN,ADBE,AIG,ALL,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK/B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,DVN,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SLB,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2000,1,16342275487,,55002606337,,9969302892,1.74E+11,19235153046,68219725178,6312320494,20143281324,,71040443596,41528365790,81116901857,5569021163,30280410765,7785443435,1326372408,1.21E+11,82704081279,2.01E+11,15460154738,,34505676420,23411539338,9068744070,11782345369,20336657937,,3.87E+11,14755862552,56238162103,25665831949,6584262738,74140395211,,21756711171,,25693845253,,57641528830,12047823500,10612569162,4.87E+11,2926243565,,,,44512489617,18044031925,1.31E+11,2.03E+11,3.46E+11,1.32E+11,87136693379,,1.48E+11,7073144210,78177169925,9006595043,18554893362,,50879410350,,55819790883,18309572400,37538715349,56274358161,1.71E+11,80294393429,4.91E+11,8243855096,,12847267182,6924413282,2056934858,,7765072191,,2.29E+11,1.23E+11,,,82415375350,28682313159,5697150766,37470188118,16868118913,4231413357,1.46E+11,28577661341,2855164002,,,,10547066268,76438041444,37578848418,,97484244585,66080878486,2.61E+11,2.27E+11
2000,2,16952941026,,56243675984,,12576152024,1.58E+11,18031402421,69579657950,6758799792,20887897840,,66603674969,37480705032,78755641610,5611021790,28944067227,7206141616,1403672008,1.16E+11,78254279534,1.9E+11,13304107045,,31387444441,22471314017,8283284426,11185895997,19827111181,,4.29E+11,15412320142,51610727302,23063398905,6378743384,74509587931,,20540842923,,22987744347,,52452804753,10828521710,9757057322,4.62E+11,3246416715,,,,44610696837,17362893297,1.26E+11,1.97E+11,3.69E+11,1.2E+11,87884960463,,1.31E+11,6183983340,74068981532,8497371142,17367890242,,44620464294,,58086327781,18304677018,35394184298,52617667984,1.56E+11,80457232697,4.51E+11,7947849608,,9453020490,5788623856,2486124769,,6839749327,,2.2E+11,1.09E+11,,,84942926606,26463053721,6511135439,38716947093,16206100468,4051455452,1.39E+11,26801537412,3003682167,,,,9772190659,68345165472,34623850927,,91575495719,62077318288,2.28E+11,2.17E+11
2000,3,18854307661,,56688649566,,12580027589,1.68E+11,18236919363,62983494006,7343138775,21157245578,,68112158528,35902730240,84472242808,5153746406,30733380706,10327807429,1545393151,1.1E+11,81629814174,2.03E+11,13734071946,,31168304288,30574649060,9272620780,12168444309,21272454700,,4.71E+11,14757943774,55561124287,23464721736,6610130107,79711411897,,20436307750,,22363280999,,52122377192,11038039125,10082934692,4.98E+11,3082244429,,,,52835797777,17924017852,1.36E+11,2.03E+11,4.17E+11,1.19E+11,98171297414,,1.25E+11,6210327326,75219432900,8448505660,19064283938,,46301443441,,62466675518,18026926142,35253392581,52412849936,1.54E+11,94795281365,4.75E+11,8317782864,,10293665874,5820025886,3106461442,,7184566035,,2.13E+11,82568291768,,,88187543411,27600444942,6975968347,41971431187,15582991095,4049427886,1.52E+11,29127768944,3536721933,,,,9855108464,70056699972,38250899008,,1.01E+11,66055523910,2.44E+11,2.41E+11
2000,4,17695037571,,61591612332,,13654557166,1.75E+11,18876100103,59891036363,6765403146,17754858165,,67504037052,37038684450,83411301835,3982608653,32056452961,8718014399,1556988923,1.11E+11,88411153196,2.09E+11,13881024434,,32775096782,29765153047,9374348600,13473145794,21663283858,,4.39E+11,16730480111,55603874370,23671224586,7454977830,82537011115,,22019980929,,24388266816,,59448464947,11192871684,11142171838,5.13E+11,2730605234,,,,45700562444,18724135405,1.29E+11,1.94E+11,3.89E+11,1.17E+11,87507004127,,1.27E+11,6570997721,83753492487,9736239302,19671833432,,47204343201,,61566510956,13868074288,36182862060,54774711324,1.63E+11,87130750575,3.86E+11,8492886413,,11717740020,6486824777,2814793306,,7727187638,,1.88E+11,88992524948,,,74965685088,29050553747,6813372769,41699033716,16914597770,4243084206,1.5E+11,29704377359,3270711974,,,,10393713930,72517043956,41537126138,,1.02E+11,68127459588,2.48E+11,2.7E+11
2000,5,15159891221,,63610473198,,13539512888,1.82E+11,20443584382,64184519734,6569814746,17740360139,,69117043689,37570093472,84753797795,4118274887,34112333562,6898829003,1706778420,1.12E+11,87509513468,2.1E+11,13691708200,,32556001777,28734954636,9272809099,13364513826,17993323548,,4.04E+11,16148063588,58169217415,24227881971,7337332314,82528707225,,22776305290,,25243866875,,57349157658,10869592452,11400704852,5.11E+11,2947889501,,,,42432160958,20714944824,1.18E+11,1.94E+11,3.87E+11,1.24E+11,69951888262,,1.32E+11,6805439258,87129065072,10188796665,18137315927,,48486359812,,62056217676,15644063980,34948143498,61835223880,1.68E+11,83214736163,3.66E+11,8799194980,,11574052955,6741276574,3227754277,,8234662629,,1.95E+11,88778816585,,,65501897592,29107026004,6232269627,42658965894,16879902213,4290846836,1.52E+11,29466124693,3210938909,,,,10764349176,69177836925,25492550052,,94364019768,70563476730,2.46E+11,2.78E+11
2000,6,15680006786,,64434025399,,14433906339,1.84E+11,18962149183,68485631957,6637087395,15518050793,,71479359605,38976415220,80690273605,5398718983,33955086748,6898481435,1901118244,1.09E+11,85592365419,2.15E+11,12924306399,,32636810641,32363776909,9529117712,13616413453,15889723634,,4.43E+11,15274930438,57309929396,22720574778,7071256005,82285556827,,22717747472,,25866861790,,52396413096,10874994548,11076440916,5.06E+11,3189274613,,,,45303222275,20366034716,1.17E+11,2E+11,4.12E+11,1.27E+11,65434239728,,1.38E+11,6174563975,94083394348,10158852355,16871798279,,43516337249,,59875799850,16204527411,34856049613,60067708707,1.68E+11,92734395094,4.01E+11,8884947726,,10772411059,6168886999,4114886334,,8110074496,,2.39E+11,81480733881,,,57172932965,27986682124,6804866318,42100626540,16465156306,4193747395,1.6E+11,26122492737,3302340741,,,,10093276766,69850963450,24973026209,,97422945599,66823213178,2.43E+11,2.79E+11
2000,7,16465476123,,63621679303,,14846428331,1.88E+11,19769561016,71373199956,6898281523,14709261744,,74167942543,42626697775,79572704046,5604016712,35063153328,6033157451,2047221353,1.05E+11,84936217325,2.27E+11,12918050989,,32064915042,31260643198,10413200794,12939646356,16137801246,,4.55E+11,16397254399,53683728052,21175998594,7005576771,78169154722,,23287386199,,26640460527,,54116172437,11602333372,11319839519,5.19E+11,3408243648,,,,49835472098,19462182214,1.27E+11,1.96E+11,4.29E+11,1.28E+11,68385042171,,1.44E+11,6264756483,1.03E+11,10707990440,17516537351,,43028157789,,61735944559,16726541235,35587452368,59323220181,1.62E+11,99222739260,3.94E+11,9354148333,,11921438659,6369242829,3875508355,,7507304585,,2.63E+11,82454302333,,,56789233297,28358727960,7165758472,41852405816,16421855748,4326107241,1.52E+11,27558653632,3791633895,,,,10473758922,68328653823,24030435688,,1.25E+11,69066632629,2.57E+11,2.7E+11
2000,8,16393169524,,64018002428,,14667153023,1.96E+11,21205245108,70846660808,7297423487,15083849588,,75308155152,44154189078,85368820526,6061358134,36159316738,5140536323,2119621216,1.09E+11,89970981454,2.41E+11,13348833099,,30996979392,32110164493,10822867499,14443994861,16257514164,,4.45E+11,15489853465,55871819458,20077385415,7619962213,80139871496,,25209547278,,28065700500,,39675389076,11612955139,12029622257,5.51E+11,4114194250,,,,54260840587,21833360286,1.21E+11,2.12E+11,4.36E+11,1.31E+11,69385286198,,1.42E+11,6737823118,87069561588,11594998797,18075857289,,42566369173,,62295181070,18521266766,37232076344,68186863412,1.68E+11,1.06E+11,3.88E+11,9472665902,,11779942079,6497284991,4245446591,,7792874744,,2.58E+11,85522425175,,,54615073225,29137745256,7013658039,45826582472,17776975748,4136795398,1.46E+11,25707205218,3800746279,,,,10443579776,66453525922,25783859835,,1.14E+11,72011034662,2.33E+11,2.8E+11
2000,9,16070943809,,68122075351,,16217653276,2.02E+11,22824459663,69813521744,6393475250,15585143684,,75883518724,49956655577,89176237320,6731200481,36913413170,4676072877,2150571903,1.12E+11,87807427592,2.32E+11,12836561653,,28798073936,32199364579,11775666603,15095461105,16683103777,,4.23E+11,17119934367,56045082721,19028345199,7178767597,79020525677,,27368656792,,26819810686,,38461826704,11667254817,12251812867,5.5E+11,4359496748,,,,52489415798,20865395135,1.25E+11,2.09E+11,3.56E+11,1.3E+11,65779470845,,1.34E+11,6095329644,87326375370,12116538845,18295461293,,40541093793,,60571124611,19114261170,35321283315,62534333641,1.65E+11,99999785660,3.64E+11,10356130444,,10816986291,6004591194,4216740753,,8097405489,,2.56E+11,86149021738,,,59934134723,30004414018,7211660974,44474908953,19315281505,4108040070,1.59E+11,25152359321,4157241888,,,,9918008246,65577047581,25017752572,,1.17E+11,73247989895,2.32E+11,2.9E+11
2000,10,9656231716,,72801275516,,15854308275,2.07E+11,23891485680,66975797928,6633986273,13105700483,,72935780811,50199113233,76394564462,7393876182,37149622396,2985497452,2350405201,1.17E+11,89016495201,2.22E+11,11971586976,,31225071720,34083925132,11667860807,15029760668,16202160057,,3.96E+11,17500163231,54422431429,19281375088,7694239678,76768341596,,28582148546,,27734613130,,39343480672,11939999571,12641695577,5.28E+11,3965134441,,,,47720228783,18574892669,1.03E+11,1.83E+11,3.13E+11,1.29E+11,60291563175,,1.4E+11,5813010685,94144748063,13061796216,16545283109,,40814290913,,62527019946,19106093494,36268143197,71305303325,1.82E+11,89010085009,3.55E+11,10759975455,,10608602006,5388481570,3892232645,,7532041169,,2.6E+11,94440510378,,,60561518464,30623518795,7321823917,43745547712,18422386232,3968860031,1.72E+11,24309727783,4201176820,,,,10408621275,67994372506,21874846347,,1.27E+11,71032162647,2.19E+11,2.92E+11
